Railroad Code,Incident Number,Grade Crossing ID,Date,Time,State Name,Highway User,Temperature,Visibility,Weather Condition,Number of Locomotive Units,Number of Cars
WC,1724028,693093J,2025-04-30,01:20 PM,MINNESOTA,Truck-trailer,66,Day,Clear,2,59
CPKC,1002287072,193550H,2025-04-04,02:10 PM,MINNESOTA,Other motor vehicle,56,Day,Clear,1,6
BNSF,TC0225201,060996W,2025-02-06,07:44 PM,MINNESOTA,Pick-up truck,8,Dusk,Cloudy,3,113
CPKC,1002247646,689176R,2025-01-24,03:00 PM,MINNESOTA,Auto,30,Day,Clear,2,108
UP,0125GL028,921272F,2025-01-28,06:35 PM,MINNESOTA,Truck-trailer,42,Dusk,Clear,2,17
TCWR,TCW092525A,393350B,2025-09-25,09:10 AM,MINNESOTA,Auto,65,Day,Clear,0,1
CPKC,1002415488,193407X,2025-07-15,06:24 PM,MINNESOTA,Other motor vehicle,75,Dusk,Clear,2,110
CPKC,1002421036,193376B,2025-07-23,04:17 PM,MINNESOTA,Other motor vehicle,75,Day,Cloudy,1,18
TCWR,TCW072125A,393434W,2025-07-21,01:00 PM,MINNESOTA,Truck-trailer,85,Day,Clear,2,111
BNSF,TC0625202,062826J,2025-06-17,11:17 AM,MINNESOTA,Truck-trailer,76,Day,Clear,0,1
BNSF,TC0625201,061133J,2025-06-15,07:01 PM,MINNESOTA,Other,70,Dusk,Clear,3,63
CPKC,1002321448,380700D,2025-05-06,09:45 AM,MINNESOTA,Truck-trailer,70,Day,Clear,1,2
UP,0525GL028,380414X,2025-05-23,06:00 PM,MINNESOTA,Auto,62,Dusk,Clear,1,0
UP,0425GL017,185420R,2025-04-16,02:14 PM,MINNESOTA,Truck-trailer,65,Day,Clear,3,60
CNRW,1726046,312213X,2025-06-06,02:16 PM,MINNESOTA,Auto,23,Day,Cloudy,4,198
BNSF,TC0425201,060926G,2025-04-30,02:45 PM,MINNESOTA,Auto,74,Day,Clear,2,17
WC,1722335,312237L,2025-03-28,07:30 PM,MINNESOTA,Auto,30,Dark,Snow,2,134
BNSF,KS1025206,334250L,2025-10-21,02:40 PM,MISSOURI,Truck,62,Day,Clear,6,116
BNSF,HL1025202,667654C,2025-10-16,11:08 AM,MISSOURI,Auto,72,Day,Clear,3,64
UP,0925HL002,441965B,2025-09-04,07:29 PM,MISSOURI,Truck-trailer,69,Dusk,Clear,3,96
UP,0925HL009,442385N,2025-09-17,08:00 AM,MISSOURI,Truck-trailer,66,Day,Clear,3,134
UP,0925MA037,425014J,2025-09-30,07:22 PM,MISSOURI,Auto,80,Dusk,Clear,3,135
UP,1025HL034,422918S,2025-10-23,09:15 AM,MISSOURI,Truck-trailer,47,Day,Clear,4,135
BNSF,HL1125202,665579L,2025-11-21,04:58 AM,MISSOURI,Auto,58,Dawn,Rain,3,34
UP,1025MA029,446431B,2025-10-22,06:55 PM,MISSOURI,Pedestrian,60,Dusk,Clear,3,78
CPKC,1002475485,329889G,2025-10-03,03:25 PM,MISSOURI,Motorcycle,85,Day,Clear,2,33
NS,161758,483560P,2025-11-21,10:15 PM,MISSOURI,Pedestrian,47,Dark,Cloudy,2,91
UP,1125HL010,442668L,2025-11-11,03:00 PM,MISSOURI,Truck,62,Day,Clear,2,10
UP,1125MA026,445875R,2025-11-19,12:57 PM,MISSOURI,Truck-trailer,55,Day,Clear,2,30
UP,1125MA028,424962L,2025-11-21,08:06 AM,MISSOURI,Auto,54,Day,Fog,2,28
UP,1125MA021,446262R,2025-11-14,06:15 PM,MISSOURI,Other,68,Dusk,Cloudy,2,4
UP,0225HL022,442281G,2025-02-22,12:32 PM,MISSOURI,Auto,37,Day,Clear,3,133
UP,0325HL021,079387D,2025-03-18,09:18 AM,MISSOURI,Auto,66,Day,Clear,3,0
UP,0425MA025,442815W,2025-04-15,12:28 PM,MISSOURI,Truck,54,Day,Clear,3,157
BNSF,HL0525201,079391T,2025-05-08,05:40 PM,MISSOURI,Truck-trailer,70,Dusk,Clear,3,109
UP,0525HL006,429446W,2025-05-10,09:05 PM,MISSOURI,Van,77,Dark,Clear,1,7
NS,160012,483623S,2025-05-13,08:04 PM,MISSOURI,Other,75,Dark,Clear,2,36
AM,AM250609C,667034N,2025-06-09,12:52 PM,MISSOURI,Truck-trailer,75,Day,Clear,4,43
UP,0625MA009,789102A,2025-06-09,02:40 PM,MISSOURI,Truck-trailer,80,Day,Cloudy,2,72
UP,0725HL011,441948K,2025-07-09,03:30 PM,MISSOURI,Auto,91,Day,Clear,2,133
UP,0725HL026,422918S,2025-07-24,01:25 PM,MISSOURI,Truck-trailer,88,Day,Clear,3,110
ATK,187362,438530D,2025-06-30,12:40 PM,MISSOURI,Pedestrian,82,Day,Clear,1,8
BNSF,HL0725202,667641B,2025-07-24,09:08 AM,MISSOURI,Auto,82,Day,Clear,3,77
NS,160997,078574H,2025-08-22,01:10 PM,MISSOURI,Truck,90,Day,Clear,2,36
CPKC,1002450491,330076R,2025-09-02,05:45 PM,MISSOURI,Auto,82,Day,Clear,3,125
CPKC,1002460101,293377J,2025-09-15,03:45 PM,MISSOURI,Other motor vehicle,90,Day,Clear,2,23
ATK,188244,441992X,2025-08-17,04:46 PM,MISSOURI,Pick-up truck,88,Day,Clear,1,7
MNA,MNA269825G,445061W,2025-08-06,02:50 PM,MISSOURI,Truck,85,Day,Rain,1,3
BNSF,HL0825201,667650A,2025-08-12,02:16 PM,MISSOURI,Truck-trailer,87,Day,Cloudy,5,135
BNSF,HL0825203,667652N,2025-08-23,03:06 PM,MISSOURI,Van,82,Day,Cloudy,3,71
ATK,184373,441936R,2025-01-26,08:13 PM,MISSOURI,Auto,25,Dark,Clear,1,7
NS,169289,942756C,2025-11-20,09:27 AM,MISSISSIPPI,Truck-trailer,75,Day,Clear,1,14
ATK,189812,340161H,2025-11-06,08:13 PM,MISSISSIPPI,Auto,65,Dark,Fog,2,3
NS,161720,725628X,2025-11-15,03:05 AM,MISSISSIPPI,Pedestrian,52,Dark,Clear,2,92
CNRW,1732602,299783B,2025-11-16,06:23 PM,MISSISSIPPI,Auto,70,Dark,Cloudy,2,48
ABS,251116001,306243B,2025-11-16,05:25 PM,MISSISSIPPI,Auto,62,Dusk,Clear,4,56
CNRW,1730944,300788K,2025-10-04,02:33 AM,MISSISSIPPI,Auto,62,Dark,Clear,2,107
CNRW,1730820,300829M,2025-10-03,04:50 AM,MISSISSIPPI,Auto,62,Dark,Clear,2,111
BNSF,HL1125203,664497B,2025-11-21,07:48 PM,MISSISSIPPI,Van,70,Dusk,Clear,3,48
CNRW,1731827,304295L,2025-10-29,09:45 AM,MISSISSIPPI,Auto,62,Day,Clear,2,16
CNRW,1729670,300733X,2025-09-08,09:04 AM,MISSISSIPPI,Truck-trailer,84,Day,Clear,1,11
BNSF,HL1025203,667301P,2025-10-23,09:53 AM,MISSISSIPPI,Auto,78,Day,Clear,2,73
CSX,227107,340138N,2025-09-13,01:32 AM,MISSISSIPPI,Pick-up truck,73,Dark,Clear,2,55
ATK,188956,340277J,2025-09-23,07:08 PM,MISSISSIPPI,Auto,85,Day,Clear,2,3
ATK,189020,299801W,2025-09-28,11:25 AM,MISSISSIPPI,Truck,87,Day,Clear,1,7
CAGY,CAG084525G,970312J,2025-01-31,08:37 AM,MISSISSIPPI,Truck-trailer,65,Day,Rain,1,0
CPKC,25022101,840843X,2025-02-21,11:30 AM,MISSISSIPPI,Auto,40,Day,Clear,0,1
MNBR,MNB265625G,840848G,2025-07-31,03:25 PM,MISSISSIPPI,Auto,93,Day,Clear,3,13
CNRW,1728657,300898V,2025-08-16,04:00 AM,MISSISSIPPI,Auto,75,Dark,Clear,2,93
CNRW,1729328,299781M,2025-08-31,12:00 PM,MISSISSIPPI,Auto,87,Day,Clear,2,38
CNRW,1729345,300895A,2025-08-30,11:03 PM,MISSISSIPPI,Auto,74,Dark,Cloudy,2,173
BNSF,HL0725201,667347D,2025-07-20,12:46 PM,MISSISSIPPI,Auto,93,Day,Clear,4,135
CNRW,1727062,299891X,2025-07-03,03:24 AM,MISSISSIPPI,Auto,75,Dark,Clear,2,45
MSR,250818005,914669Y,2025-08-18,11:00 AM,MISSISSIPPI,Truck-trailer,89,Day,Clear,3,75
MSR,250828005,304506F,2025-08-28,01:00 PM,MISSISSIPPI,Auto,65,Day,Rain,2,0
MSR,250603003,304547K,2025-06-03,02:50 PM,MISSISSIPPI,Other motor vehicle,86,Day,Clear,1,4
AGR,AGR239425G,664950D,2025-06-28,10:30 AM,MISSISSIPPI,Auto,87,Day,Clear,1,45
NTZR,NTZR1,309803R,2025-08-06,03:25 PM,MISSISSIPPI,Other,94,Day,Cloudy,2,1
ATK,186573,300822P,2025-05-26,08:09 PM,MISSISSIPPI,Auto,73,Day,Cloudy,1,7
CSX,224795,340208B,2025-05-10,12:02 PM,MISSISSIPPI,Auto,75,Day,Cloudy,2,11
BNSF,HL0425202,667347D,2025-04-19,11:27 AM,MISSISSIPPI,Auto,84,Day,Cloudy,2,79
BNSF,HL0425201,664882E,2025-04-07,03:00 PM,MISSISSIPPI,Auto,52,Day,Clear,3,71
ATK,189840,059438G,2025-11-09,02:01 PM,MONTANA,Pick-up truck,44,Day,Cloudy,2,10
ATK,190762,088110F,2025-12-30,12:46 PM,MONTANA,Auto,34,Day,Clear,3,10
BNSF,MT0425202,058673B,2025-04-08,04:54 AM,MONTANA,Auto,46,Dawn,Cloudy,4,106
ATK,185832,081583K,2025-04-12,06:33 PM,MONTANA,Pick-up truck,60,Day,Cloudy,2,10
BNSF,MT0525201,087377T,2025-05-03,10:55 PM,MONTANA,Auto,58,Dark,Clear,3,105
BNSF,MT0625202,059618E,2025-06-15,09:15 PM,MONTANA,Pedestrian,60,Dark,Cloudy,2,92
BNSF,MT0625201,058673B,2025-06-13,11:11 PM,MONTANA,Auto,65,Dark,Cloudy,4,70
